"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104429",657000,197000,1070000,1150000,577000,256000,3310000,137000,90600,1170000,2330000,581000,481000,2120000,1380000,3080000,738000,1080000,1090000,709000,784000,1760000,244000,147000,4770000,3610000,1080000,465000,1090000,2870000,967000,7240000,771000,1120000,647000,244000,4900000,256000,167000,6050000,1720000,1160000,118000,1480000,1660000
"ME104430",NA,NA,47200,24100,NA,2870,47700,NA,NA,16500,2500,2390,6010,1970,1160,2990,5600,2930,2010,3040,2060,8210,NA,2450,1920,7770,5340,2000,4630,NA,1700,5260,2880,4020,3070,8500,89400,2110,NA,5240,NA,2700000,NA,37600,2130
"ME104432",94700,669000,951000,3450000,156000,389000,1750000,76900,77400,980000,375000,7350000,552000,674000,40500,1410000,4110000,2530000,3080000,528000,1300000,4150000,286000,511000,501000,687000,911000,99500,711000,7030,314000,1500000,707000,3910000,125000,1100000,5590000,115000,366000,536000,204000,2550000,644000,1090000,162000
"ME104433",2.3e+07,41500000,72900000,1.17e+08,64900000,25700000,95100000,31200000,21100000,1.06e+08,89700000,3.3e+07,43600000,65800000,18700000,1.08e+08,76200000,95900000,1.14e+08,48200000,60900000,87500000,25500000,21900000,7.7e+07,1.13e+08,56900000,37800000,1.12e+08,28700000,4e+07,53900000,69600000,1.18e+08,6.1e+07,51300000,1.59e+08,31300000,29800000,84300000,59100000,88700000,33100000,62200000,28900000
"ME104434",17500000,39800000,75100000,1.54e+08,56500000,24800000,99400000,28100000,21200000,1.36e+08,78900000,39800000,39900000,64200000,18700000,1.19e+08,71900000,1e+08,1.19e+08,44100000,58400000,1.05e+08,21600000,17900000,91100000,1.25e+08,71500000,38100000,1.23e+08,28400000,40600000,54300000,69600000,1.35e+08,56600000,43400000,1.87e+08,26500000,24900000,95500000,61600000,75900000,29500000,60800000,23300000
"ME104435",7030000,26400000,1.66e+08,1.17e+08,30700000,5620000,28400000,87400000,6740000,56400000,2.81e+08,22500000,1.58e+08,50600000,5630000,2.2e+07,2.44e+08,2.27e+08,50100000,27400000,2.3e+07,1.14e+08,95800000,50300000,24600000,1.02e+09,33200000,34900000,21500000,8670000,42800000,62800000,70800000,31200000,27400000,15200000,25600000,14800000,15100000,27200000,4.9e+07,16800000,5850000,40700000,7120000
"ME104436",2.5e+07,9920000,1180000,23500000,3.5e+07,303000,4340000,3310000,2630000,4230000,45900000,971000,2410000,24900000,438000,22400000,30300000,90300000,86800000,58600000,25700000,9560000,6240000,2020000,15100000,58600000,825000,3730000,69700000,4710000,2510000,4410000,11400000,16700000,30300000,36900000,1550000,24600000,8690000,1180000,2540000,54600000,1700000,7130000,10600000
"ME104437",9070,194000,35900,340000,93200,34500,141000,40700,25700,102000,208000,43600,112000,53500,10600,275000,182000,69700,162000,72600,83100,56400,85700,57100,96800,93700,61800,42600,127000,49700,16900,78900,97100,443000,124000,59400,114000,8370,43900,191000,53300,137000,145000,14700,26300
"ME104438",1800000,3310000,5880000,11800000,4130000,2130000,15200000,2770000,1920000,6390000,7860000,2520000,3420000,2630000,1220000,3330000,5610000,6e+06,5420000,2500000,5250000,7010000,2570000,1490000,5230000,2630000,3450000,4810000,6240000,1560000,2470000,4880000,5070000,9130000,3760000,4190000,19600000,2960000,2500000,7330000,5130000,4700000,4070000,2510000,1580000
"ME104439",1250,16500,2850,6490,2110,1360,7100,NA,1140,1320,8510,1290,1480,50300,8660,3070,2800,1220,7180,1480,1580,1980,1640,1320,2380,240000,1290,1870,4190,1320,1460,NA,26100,1640,1690,1310,2670,1710,1490,1030,1250,2120,NA,3580,2210
